epoch 227: steps 509, actor loss -0.500746, critic loss 0.16651
epoch 228: steps 565, actor loss -0.504598, critic loss 0.158313
epoch 229: steps 516, actor loss -0.471054, critic loss 0.158265
epoch 230: steps 563, actor loss -0.476075, critic loss 0.145128
epoch 231: steps 584, actor loss -0.478228, critic loss 0.142502
epoch 232: steps 660, actor loss -0.507722, critic loss 0.155381
epoch 233: steps 486, actor loss -0.455271, critic loss 0.137588
epoch 234: steps 558, actor loss -0.428708, critic loss 0.184202
epoch 235: steps 689, actor loss -0.490713, critic loss 0.15687
epoch 236: steps 658, actor loss -0.482583, critic loss 0.147277
epoch 237: steps 559, actor loss -0.461512, critic loss 0.145907
epoch 238: steps 613, actor loss -0.490185, critic loss 0.145649
epoch 239: steps 607, actor loss -0.466938, critic loss 0.130616
epoch 240: steps 521, actor loss -0.445116, critic loss 0.135776
epoch 241: steps 496, actor loss -0.4553, critic loss 0.153526
epoch 242: steps 482, actor loss -0.4294, critic loss 0.159895
epoch 243: steps 593, actor loss -0.409026, critic loss 0.140396
epoch 244: steps 537, actor loss -0.399667, critic loss 0.12409
epoch 245: steps 778, actor loss -0.428534, critic loss 0.12046
epoch 246: steps 741, actor loss -0.456704, critic loss 0.135711
epoch 247: steps 775, actor loss -0.427721, critic loss 0.122524
epoch 248: steps 761, actor loss -0.423723, critic loss 0.159097
epoch 249: steps 810, actor loss -0.412564, critic loss 0.129952
epoch 250: steps 840, actor loss -0.418415, critic loss 0.180508
epoch 251: steps 885, actor loss -0.444697, critic loss 0.135186
epoch 252: steps 774, actor loss -0.438852, critic loss 0.170118
epoch 253: steps 746, actor loss -0.409674, critic loss 0.120245
epoch 254: steps 826, actor loss -0.44892, critic loss 0.165768
epoch 255: steps 883, actor loss -0.403579, critic loss 0.150705
epoch 256: steps 792, actor loss -0.423628, critic loss 0.158215
epoch 257: steps 738, actor loss -0.34997, critic loss 0.164768
epoch 258: steps 1114, actor loss -0.37804, critic loss 0.112116
epoch 259: steps 1077, actor loss -0.422617, critic loss 0.149325
epoch 260: steps 985, actor loss -0.389844, critic loss 0.147907
epoch 261: steps 852, actor loss -0.425389, critic loss 0.17599
epoch 262: steps 1036, actor loss -0.369406, critic loss 0.190998
epoch 263: steps 1266, actor loss -0.40117, critic loss 0.21969
epoch 264: steps 1604, actor loss -0.389018, critic loss 0.240256
epoch 265: steps 1428, actor loss -0.359511, critic loss 0.166666
epoch 266: steps 1314, actor loss -0.334229, critic loss 0.184066
epoch 267: steps 1734, actor loss -0.351467, critic loss 0.212394
