epoch 335: steps 1695, actor loss 0.117977, critic loss 0.122093
epoch 336: steps 1974, actor loss 0.121399, critic loss 0.045338
epoch 337: steps 1918, actor loss 0.117238, critic loss 0.086143
epoch 338: steps 1936, actor loss 0.106662, critic loss 0.0299157
epoch 339: steps 1895, actor loss 0.113677, critic loss 0.0741956
epoch 340: steps 1826, actor loss 0.116659, critic loss 0.0897115
epoch 341: steps 1890, actor loss 0.0942616, critic loss 0.104609
epoch 342: steps 1974, actor loss 0.113846, critic loss 0.0841709
epoch 343: steps 1799, actor loss 0.10302, critic loss 0.0732061
epoch 344: steps 1918, actor loss 0.0947979, critic loss 0.0733309
epoch 345: steps 1942, actor loss 0.090227, critic loss 0.0406158
epoch 346: steps 1957, actor loss 0.101675, critic loss 0.0901265
epoch 347: steps 1807, actor loss 0.0978344, critic loss 0.183286
epoch 348: steps 2000, actor loss 0.0815783, critic loss 0.0183005
epoch 349: steps 2000, actor loss 0.084874, critic loss 0.0196575
epoch 350: steps 1947, actor loss 0.112027, critic loss 0.0688751
epoch 351: steps 1916, actor loss 0.0940643, critic loss 0.0552862
epoch 352: steps 1928, actor loss 0.0569707, critic loss 0.0434444
epoch 353: steps 1939, actor loss 0.0773107, critic loss 0.0323266
epoch 354: steps 2000, actor loss 0.0879507, critic loss 0.0198349
epoch 355: steps 1714, actor loss 0.0551658, critic loss 0.176926
epoch 356: steps 1987, actor loss 0.0896681, critic loss 0.0240159
epoch 357: steps 2000, actor loss 0.0658959, critic loss 0.0134028
epoch 358: steps 1971, actor loss 0.0941821, critic loss 0.0635613
epoch 359: steps 1921, actor loss 0.088985, critic loss 0.0868193
epoch 360: steps 2000, actor loss 0.0740613, critic loss 0.0177101
epoch 361: steps 2000, actor loss 0.0606042, critic loss 0.0121444
epoch 362: steps 2000, actor loss 0.059648, critic loss 0.0121868
epoch 363: steps 1994, actor loss 0.0818766, critic loss 0.0912205
epoch 364: steps 1997, actor loss 0.057184, critic loss 0.014538
epoch 365: steps 2000, actor loss 0.0607722, critic loss 0.014924
epoch 366: steps 1983, actor loss 0.0425008, critic loss 0.0176817
epoch 367: steps 1802, actor loss 0.0567654, critic loss 0.120221
epoch 368: steps 1932, actor loss 0.0598945, critic loss 0.0405006
epoch 369: steps 2000, actor loss 0.044044, critic loss 0.0100797
epoch 370: steps 1682, actor loss 0.0291857, critic loss 0.219541
epoch 371: steps 1929, actor loss 0.0635847, critic loss 0.0565025
